Generations,Time,AvgFitness
1,0,0
2,15.11944,5593.733
3,30.12309,5298.9
4,45.20669,5088.433
5,60.34443,8640.833
6,75.38364,6468.767
7,90.55315,5934.6
8,105.7207,5594.8
9,120.7743,6642.067
10,135.8538,7413.467
11,150.9865,7605.7
12,166.0282,7627.467
13,181.0616,13200.03
14,196.2488,7320.367
15,211.4264,6864.467
16,226.4704,7570.6
17,241.593,7584.667
18,256.6523,10302.47
19,271.6858,10950.6
20,286.8165,8220.366
21,301.9329,10871.97
22,317.0851,10153.87
23,332.2197,14059.87
24,347.2246,20693.43
25,362.2565,30091.73
26,377.6209,42759.3
27,392.7018,29987
28,407.888,34220.57
29,422.9169,54170.2
30,438.0365,50828.13
31,453.0704,56678.17
32,468.238,51911.8
33,483.2611,45730.7
34,498.3047,53356.54
35,513.4565,59981.43
36,528.4709,37346.67
37,543.5515,46186.7
38,558.5636,55975.07
39,573.6368,60591.9
40,588.7569,54382.67
41,603.8624,68089.77
42,618.9528,61195.13
43,634.0835,58286.04
44,649.1926,75451.66
45,664.2342,62370.77
46,679.3613,51633.5
47,694.4573,73110.66
48,709.5189,58334.43
49,724.6125,53060.9
50,739.6556,54648.17
51,754.7256,60929.87
52,769.8411,51274.9
53,784.9321,59085.73
54,799.9861,71056.84
55,815.1158,55032.5
56,830.2222,66173.84
57,845.3229,59509.93
58,860.4492,56000.93
59,875.5939,67202.43
60,890.7559,55147.33
61,905.8681,54529.33
62,920.905,58754.54
63,935.9661,68170.97
64,951.0765,58560.1
65,966.1074,60271.57
66,981.1689,75623.84
67,996.3406,52815.3
68,1011.421,61307.83
69,1026.441,60706.07
70,1041.63,57047.93
71,1056.781,57061.57
72,1071.876,77717.03
73,1086.986,72890.1
74,1102.116,58094.33
75,1117.187,53093.33
76,1132.331,61811.54
77,1147.448,54612.1
78,1162.5,57061.6
79,1177.64,48752.8
80,1192.712,70868.2
81,1207.878,55143.73
82,1222.997,54955.27
83,1238.068,70642.07
84,1253.119,54353.54
85,1268.248,77734.87
86,1283.307,70903.77
